company,current price,change in price,percentage change in price,volume,turnover,PE,PB,yield,market cap,one-month,two-month,three-month,fiftytwo-week,current ratio,quick ratio,roa,roe,gp margin,np margin,payout,DE,revenue,EPS,revenue growth,EPS growth
HSBC HOLDINGS,65.5,0.75,1.158,2577000000,169000000000,17.46,0.97,6.08,133364000000000.0,63.050 - 65.350,63.050 - 68.250,60.350 - 68.450,60.350 - 86.000,0.83,0.83,0.43,5.68,,20.99,106.25,,40199000000000.0,3.7510000000000003,8.083,591.020
HANG SENG BANK,174.6,4.0,2.345,301000000,52391000000,16.95,2.2,3.84,33381000000000.0,166.000 - 180.000,166.000 - 187.300,166.000 - 212.000,166.000 - 216.800,0.86,0.86,1.35,13.17,,56.62,65.05,,3536000000000.0,10.3,15.55,24.096
BANK OF E ASIA,24.9,0.05,0.201,130000000,3231000000,7.76,1.32,5.14,7085000000000.0,24.000 - 25.600,24.000 - 27.050,24.000 - 27.900,24.000 - 35.450,0.94,0.94,1.16,10.45,,58.59,39.88,,1595000000000.0,3.21,8.421,165.289
BANKOFJINZHOU,6.99,-0.11,-1.5490000000000002,1100000,7602000,4.42,0.7,2.74,2459000000000.0,6.550 - 8.390,6.550 - 8.550,6.550 - 8.550,4.680 - 8.550,0.47,0.47,1.24,15.96,,47.73,12.12,,2255000000000.0,1.5830000000000002,23.611,1.723
DAH SING,38.55,0.55,1.4469999999999998,55270000,2129000000,2.39,0.52,20.62,1292000000000.0,36.800 - 41.450,36.800 - 45.150,36.800 - 48.350,36.800 - 54.700,0.91,0.91,2.4,21.57,,101.59,49.29,,532000000000.0,16.13,9.551,185.487
PUBLIC FIN HOLD,3.27,0.02,0.615,113000000,367000000,7.12,0.47,6.42,359000000000.0,3.170 - 3.260,3.150 - 3.260,3.120 - 3.260,3.120 - 3.680,1.0,1.0,1.1,6.61,,31.46,45.75,,160000000000.0,0.45899999999999996,3.6210000000000004,24.054
CCB,6.57,0.15,2.336,46135000000,303000000000,5.71,0.77,5.31,157954000000000.0,6.220 - 6.640,6.220 - 6.880,6.020 - 6.880,6.020 - 9.390,0.84,0.84,1.1,13.61,,40.78,30.31,,71218000000000.0,1.151,14.472000000000001,12.578
CITIC BANK,4.76,0.08,1.709,2851000000,13556000000,4.73,0.49,6.57,7084000000000.0,4.570 - 4.870,4.570 - 5.080,4.570 - 5.080,4.570 - 6.820,0.8,0.8,0.75,10.65,,27.07,31.07,,18850000000000.0,1.0070000000000001,10.037,6.618
CHONG HING BANK,13.36,0.24,1.829,14350000,191000000,6.16,0.5,4.04,1299000000000.0,13.000 - 13.560,13.000 - 14.020,13.000 - 14.020,13.000 - 17.080,0.93,0.93,0.96,8.98,,57.75,24.88,,271000000000.0,2.17,1.318,11.856
ZYBANK,2.38,0.0,0.0,200000,475000,9.45,0.88,3.58,903000000000.0,2.120 - 2.500,2.120 - 2.500,2.120 - 2.500,2.120 - 2.600,0.62,0.62,0.74,8.48,,29.95,33.81,,1536000000000.0,0.252,,
